target,horizon,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ARI incidence,3,respicast,quantileBaseline,respicast-quantileBaseline,485.22650207804855,739.8089448644267,0,52,9
ARI incidence,3,ECDC,soca_simplex,ECDC-soca_simplex,428.18133254717475,560.2130965446106,-0.024600253653278864,32,10
ARI incidence,3,MRC_GIDA,TiDE,MRC_GIDA-TiDE,529.4858771732029,716.6075845356664,-0.7565231668385889,5,11
ARI incidence,3,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,610.73202348238,766.108911153233,-0.8615973218057446,5,12
ARI incidence,3,ISI,LSTFlu,ISI-LSTFlu,1886.7831063017175,2257.5992253572686,-1.0751661583650116,44,13
ARI incidence,3,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,764.3597532991364,1017.3130427628483,-1.1655840010181686,5,14
ARI incidence,3,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,627.2536669960474,651.4909090909091,-1.4057549178664643,11,15
ARI incidence,3,ISI,GLEAM,ISI-GLEAM,469.99764782608696,550.8472413793104,-1.4241008064345064,29,16
ARI incidence,4,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,568.8794239804083,891.2575021907829,0.6084304563554407,5,1
ARI incidence,4,ECDC,SARIMA,ECDC-SARIMA,251.3329316975973,374.62423187158504,0.5572608770199977,10,2
ARI incidence,4,respicast,hubEnsemble,respicast-hubEnsemble,291.47723132560964,454.54015240334013,0.5027254602690908,32,3
ARI incidence,4,MRC_GIDA,Prophet,MRC_GIDA-Prophet,427.45954555954916,734.8558828064888,0.49709470652175286,5,4
ARI incidence,4,MRC_GIDA,TiDE,MRC_GIDA-TiDE,1140.2152550191315,1567.123707757188,0.4881612362973674,5,5
ARI incidence,4,safinea,PRFM,safinea-PRFM,321.7572509914246,457.1897895395476,0.4532114711994301,32,6
ARI incidence,4,ISI,FluBcast,ISI-FluBcast,374.2883711439081,501.6018437143716,0.40532084882821656,20,7
ARI incidence,4,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,664.9540775880256,954.9361175999138,0.37403551557298376,5,8
ARI incidence,4,MIGHTE,jointGBM,MIGHTE-jointGBM,292.43438718747063,388.21510738672947,0.3609471416807657,16,9
